CONTIG	START	END	GC_CONTENT
1	1	250000	0.427611
1	250001	500000	0.419921
1	500001	750000	0.428929
1	750001	1000000	0.567700
1	1000001	1250000	0.612900
1	1250001	1500000	0.583764
1	1500001	1750000	0.541716
1	1750001	2000000	0.537280
1	2000001	2250000	0.579156
1	2250001	2500000	0.609860
1	2500001	2750000	0.577905
1	2750001	3000000	0.561192
1	3000001	3250000	0.573792
1	3250001	3500000	0.595352
1	3500001	3750000	0.564924
1	3750001	4000000	0.506170
1	4000001	4250000	0.501232
1	4250001	4500000	0.463916
1	4500001	4750000	0.485720
1	4750001	5000000	0.477936
1	5000001	5250000	0.431080
1	5250001	5500000	0.463812
1	5500001	5750000	0.470904
1	5750001	6000000	0.511356
1	6000001	6250000	0.545608
1	6250001	6500000	0.544536
1	6500001	6750000	0.533972
1	6750001	7000000	0.445964
1	7000001	7250000	0.476664
1	7250001	7500000	0.464680
1	7500001	7750000	0.539092
1	7750001	8000000	0.437408
1	8000001	8250000	0.446676
1	8250001	8500000	0.478728
1	8500001	8750000	0.408156
1	8750001	9000000	0.443864
1	9000001	9250000	0.491728
1	9250001	9500000	0.521656
1	9500001	9750000	0.502016
1	9750001	10000000	0.492480
1	10000001	10250000	0.451576
1	10250001	10500000	0.438748
1	10500001	10750000	0.489868
1	10750001	11000000	0.532904
1	11000001	11250000	0.478420
1	11250001	11500000	0.482004
1	11500001	11750000	0.520996
1	11750001	12000000	0.518752
1	12000001	12250000	0.519428
1	12250001	12500000	0.433160
1	12500001	12750000	0.477172
1	12750001	13000000	0.446952
1	13000001	13250000	0.459220
1	13250001	13500000	0.461619
1	13500001	13750000	0.464235
1	13750001	14000000	0.467664
1	14000001	14250000	0.434884
1	14250001	14500000	0.427916
1	14500001	14750000	0.416832
1	14750001	15000000	0.445416
1	15000001	15250000	0.480096
1	15250001	15500000	0.509772
1	15500001	15750000	0.479832
1	15750001	16000000	0.465620
1	16000001	16250000	0.485744
1	16250001	16500000	0.540420
1	16500001	16750000	0.483568
1	16750001	17000000	0.475056
1	17000001	17250000	0.482940
1	17250001	17500000	0.512612
1	17500001	17750000	0.503660
1	17750001	18000000	0.523124
1	18000001	18250000	0.497296
1	18250001	18500000	0.491760
1	18500001	18750000	0.494008
1	18750001	19000000	0.483388
1	19000001	19250000	0.514428
1	19250001	19500000	0.479292
1	19500001	19750000	0.485616
1	19750001	20000000	0.469948
1	20000001	20250000	0.466332
1	20250001	20500000	0.458656
1	20500001	20750000	0.481356
1	20750001	21000000	0.488880
1	21000001	21250000	0.438532
1	21250001	21500000	0.392408
1	21500001	21750000	0.493376
1	21750001	22000000	0.517820
1	22000001	22250000	0.487568
1	22250001	22500000	0.492272
1	22500001	22750000	0.498688
1	22750001	23000000	0.487344
1	23000001	23250000	0.515288
1	23250001	23500000	0.432172
1	23500001	23750000	0.450532
1	23750001	24000000	0.493652
1	24000001	24250000	0.472332
1	24250001	24500000	0.474220
1	24500001	24750000	0.466836
1	24750001	25000000	0.445440
1	25000001	25250000	0.462988
1	25250001	25500000	0.502380
1	25500001	25750000	0.462988
1	25750001	26000000	0.468660
1	26000001	26250000	0.495132
1	26250001	26500000	0.480744
1	26500001	26750000	0.497100
1	26750001	27000000	0.475200
1	27000001	27250000	0.481032
1	27250001	27500000	0.504644
1	27500001	27750000	0.489964
1	27750001	28000000	0.506712
1	28000001	28250000	0.451512
1	28250001	28500000	0.436760
1	28500001	28750000	0.454740
1	28750001	29000000	0.466436
1	29000001	29250000	0.474500
1	29250001	29500000	0.423524
1	29500001	29750000	0.491716
1	29750001	30000000	0.488929
1	30000001	30250000	0.475806
1	30250001	30500000	0.471844
1	30500001	30750000	0.484024
1	30750001	31000000	0.479148
1	31000001	31250000	0.488760
1	31250001	31500000	0.469788
1	31500001	31750000	0.468996
1	31750001	32000000	0.451144
1	32000001	32250000	0.522736
1	32250001	32500000	0.454576
1	32500001	32750000	0.478580
1	32750001	33000000	0.472332
1	33000001	33250000	0.471384
1	33250001	33500000	0.468144
1	33500001	33750000	0.472228
1	33750001	34000000	0.458908
1	34000001	34250000	0.447332
1	34250001	34500000	0.457676
1	34500001	34750000	0.449240
1	34750001	35000000	0.429808
1	35000001	35250000	0.455840
1	35250001	35500000	0.450016
1	35500001	35750000	0.425612
1	35750001	36000000	0.400920
1	36000001	36250000	0.453632
1	36250001	36500000	0.415640
1	36500001	36750000	0.478996
1	36750001	37000000	0.493552
1	37000001	37250000	0.481972
1	37250001	37500000	0.496928
1	37500001	37750000	0.461864
1	37750001	38000000	0.480096
1	38000001	38250000	0.479484
1	38250001	38500000	0.471344
1	38500001	38750000	0.489788
1	38750001	39000000	0.425272
1	39000001	39250000	0.450496
1	39250001	39500000	0.446764
1	39500001	39750000	0.439764
1	39750001	40000000	0.439148
1	40000001	40250000	0.485016
1	40250001	40500000	0.464532
1	40500001	40750000	0.414676
1	40750001	41000000	0.433776
1	41000001	41250000	0.448332
1	41250001	41500000	0.490176
1	41500001	41750000	0.402456
1	41750001	42000000	0.516836
1	42000001	42250000	0.485872
1	42250001	42500000	0.431616
1	42500001	42750000	0.410860
1	42750001	43000000	0.409508
1	43000001	43250000	0.427188
1	43250001	43500000	0.460976
1	43500001	43750000	0.447680
1	43750001	44000000	0.483440
1	44000001	44250000	0.485596
1	44250001	44500000	0.493760
1	44500001	44750000	0.449832
1	44750001	45000000	0.448120
1	45000001	45250000	0.493492
1	45250001	45500000	0.459108
1	45500001	45750000	0.410008
1	45750001	46000000	0.443760
1	46000001	46250000	0.438044
1	46250001	46500000	0.412236
1	46500001	46750000	0.452096
1	46750001	47000000	0.503100
1	47000001	47250000	0.445576
1	47250001	47500000	0.419648
1	47500001	47750000	0.430900
1	47750001	48000000	0.457800
1	48000001	48250000	0.479384
1	48250001	48500000	0.477336
1	48500001	48750000	0.426860
1	48750001	49000000	0.385720
1	49000001	49250000	0.442956
1	49250001	49500000	0.400184
1	49500001	49750000	0.382916
1	49750001	50000000	0.373788
1	50000001	50250000	0.372460
1	50250001	50500000	0.370616
1	50500001	50750000	0.411872
1	50750001	51000000	0.424772
1	51000001	51250000	0.382704
1	51250001	51500000	0.383208
1	51500001	51750000	0.407560
1	51750001	52000000	0.417128
1	52000001	52250000	0.403628
1	52250001	52500000	0.424180
1	52500001	52750000	0.412908
1	52750001	53000000	0.413252
1	53000001	53250000	0.443448
1	53250001	53500000	0.419344
1	53500001	53750000	0.478172
1	53750001	54000000	0.505844
1	54000001	54250000	0.483488
1	54250001	54500000	0.435048
1	54500001	54750000	0.479132
1	54750001	55000000	0.496572
1	55000001	55250000	0.490160
1	55250001	55500000	0.476880
1	55500001	55750000	0.410172
1	55750001	56000000	0.426968
1	56000001	56250000	0.404248
1	56250001	56500000	0.394060
1	56500001	56750000	0.391336
1	56750001	57000000	0.424904
1	57000001	57250000	0.384380
1	57250001	57500000	0.421376
1	57500001	57750000	0.410984
1	57750001	58000000	0.400852
1	58000001	58250000	0.402048
1	58250001	58500000	0.406952
1	58500001	58750000	0.418280
1	58750001	59000000	0.409668
1	59000001	59250000	0.412592
1	59250001	59500000	0.432112
1	59500001	59750000	0.412240
1	59750001	60000000	0.402692
1	60000001	60250000	0.406888
1	60250001	60500000	0.383072
1	60500001	60750000	0.375144
1	60750001	61000000	0.374516
1	61000001	61250000	0.386968
1	61250001	61500000	0.412088
1	61500001	61750000	0.389588
1	61750001	62000000	0.401696
1	62000001	62250000	0.411344
1	62250001	62500000	0.393200
1	62500001	62750000	0.442392
1	62750001	63000000	0.418260
1	63000001	63250000	0.379456
1	63250001	63500000	0.391176
1	63500001	63750000	0.390608
1	63750001	64000000	0.395148
1	64000001	64250000	0.415524
1	64250001	64500000	0.410220
1	64500001	64750000	0.403520
1	64750001	65000000	0.412952
1	65000001	65250000	0.396860
1	65250001	65500000	0.414140
1	65500001	65750000	0.425224
1	65750001	66000000	0.394484
1	66000001	66250000	0.375400
1	66250001	66500000	0.367356
1	66500001	66750000	0.376332
1	66750001	67000000	0.391260
1	67000001	67250000	0.377796
1	67250001	67500000	0.367068
1	67500001	67750000	0.395096
1	67750001	68000000	0.418452
1	68000001	68250000	0.424808
1	68250001	68500000	0.399256
1	68500001	68750000	0.405484
1	68750001	69000000	0.388380
1	69000001	69250000	0.367424
1	69250001	69500000	0.379272
1	69500001	69750000	0.371028
1	69750001	70000000	0.367380
1	70000001	70250000	0.352276
1	70250001	70500000	0.355520
1	70500001	70750000	0.361412
1	70750001	71000000	0.392344
1	71000001	71250000	0.376580
1	71250001	71500000	0.377524
1	71500001	71750000	0.374336
1	71750001	72000000	0.361852
1	72000001	72250000	0.357320
1	72250001	72500000	0.349892
1	72500001	72750000	0.336996
1	72750001	73000000	0.352040
1	73000001	73250000	0.349972
1	73250001	73500000	0.350916
1	73500001	73750000	0.353340
1	73750001	74000000	0.344744
1	74000001	74250000	0.354528
1	74250001	74500000	0.359556
1	74500001	74750000	0.344084
1	74750001	75000000	0.369120
1	75000001	75250000	0.375292
1	75250001	75500000	0.368208
1	75500001	75750000	0.374756
1	75750001	76000000	0.373496
1	76000001	76250000	0.385092
1	76250001	76500000	0.375992
1	76500001	76750000	0.401620
1	76750001	77000000	0.377624
1	77000001	77250000	0.381616
1	77250001	77500000	0.392256
1	77500001	77750000	0.374296
1	77750001	78000000	0.391620
1	78000001	78250000	0.390396
1	78250001	78500000	0.385928
1	78500001	78750000	0.394844
1	78750001	79000000	0.374544
1	79000001	79250000	0.363896
1	79250001	79500000	0.356592
1	79500001	79750000	0.356768
1	79750001	80000000	0.357112
1	80000001	80250000	0.352312
1	80250001	80500000	0.358920
1	80500001	80750000	0.356328
1	80750001	81000000	0.346152
1	81000001	81250000	0.348500
1	81250001	81500000	0.353992
1	81500001	81750000	0.361612
1	81750001	82000000	0.376020
1	82000001	82250000	0.379984
1	82250001	82500000	0.349992
1	82500001	82750000	0.375760
1	82750001	83000000	0.366328
1	83000001	83250000	0.354464
1	83250001	83500000	0.367496
